Rowid_,GISJOIN,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,G3205100000702,1927,3,1920000.000000000000000,4097.495117187500000,4099.831542968750000,2.336425781250000,4098.686360677083030,0.954397745796124,12296.059082031250000
,G3205100000800,1928,73,46720000.000000000000000,4014.379150390625000,4129.226074218750000,114.846923828125000,4071.607933566994689,26.675286465516251,297227.379150390625000
,G3205100000900,1929,14,8960000.000000000000000,4163.537109375000000,4197.144531250000000,33.607421875000000,4181.754464285714675,9.305441286614364,58544.562500000000000
,G3205100001001,1930,2,1280000.000000000000000,4155.396972656250000,4163.941894531250000,8.544921875000000,4159.669433593750000,4.272460937500000,8319.338867187500000
,G3205100001002,1931,439,280960000.000000000000000,4010.108886718750000,4203.488281250000000,193.379394531250000,4101.150416206933187,51.130172954292647,1800405.032714843750000
,G3205100990000,1932,86,55040000.000000000000000,3933.256347656250000,4071.033691406250000,137.777343750000000,4004.009112690770507,33.995093333157179,344344.783691406250000
,G3500010000107,1933,7,4480000.000000000000000,3748.167724609375000,3750.324707031250000,2.156982421875000,3749.103759765625000,0.709909951104592,26243.726318359375000
,G3500010000108,1934,3,1920000.000000000000000,3747.460693359375000,3748.805664062500000,1.344970703125000,3748.125895182291515,0.549178598707967,11244.377685546875000
,G3500010000109,1935,2,1280000.000000000000000,3746.290771484375000,3746.853759765625000,0.562988281250000,3746.572265625000000,0.281494140625000,7493.144531250000000
,G3500010000110,1936,4,2560000.000000000000000,3744.967773437500000,3746.161132812500000,1.193359375000000,3745.563293457031250,0.422895799221462,14982.253173828125000
,G3500010000111,1937,6,3840000.000000000000000,3746.118408203125000,3748.097167968750000,1.978759765625000,3747.097900390625000,0.632421474759040,22482.587402343750000
,G3500010000112,1938,3,1920000.000000000000000,3746.999267578125000,3747.755615234375000,0.756347656250000,3747.437662760416515,0.320307436957314,11242.312988281250000
,G3500010000113,1939,3,1920000.000000000000000,3745.525634765625000,3746.837890625000000,1.312255859375000,3746.174641927083485,0.535820849970561,11238.523925781250000
,G3500010000114,1940,2,1280000.000000000000000,3744.384521484375000,3744.933593750000000,0.549072265625000,3744.659057617187500,0.274536132812500,7489.318115234375000
,G3500010000115,1941,2,1280000.000000000000000,3743.852539062500000,3744.396728515625000,0.544189453125000,3744.124633789062500,0.272094726562500,7488.249267578125000
,G3500010000116,1942,3,1920000.000000000000000,3744.983886718750000,3746.285156250000000,1.301269531250000,3745.627441406250000,0.531335412433406,11236.882324218750000
,G3500010000117,1943,3,1920000.000000000000000,3744.865478515625000,3745.771484375000000,0.906005859375000,3745.311116536458485,0.370021962150884,11235.933349609375000
